confl,SELS_mx,nrSELS,pavedkm,unpavedkm,PA_dist,vieh_sum,cattle_sum,pop_sum,forest,shrub,grass,crop,set_num,set_area
"0",A3,"2","25.12","467.19","0.19","5216.66326904297","14292.8033447266","154.744756557513","1.12","1545.09","123.54","72.86","0","1.17"
"0",A4,"2","30.45","436.35","23.83","2099.72950744629","11540.8486480713","15.1533765220083","0","1708.04","82.83","0.19","0","0.15"
"0",A4,"1","80.65","259.82","0","11917.9870605469","366.3366355896","78.9728874559514","0.19","74.25","1855.19","0.01","1","0.06"
"0",A4,"2","41.6","226.26","0","648.356426239014","13131.3125610352","34.9387152260169","0.62","1305.89","551.29","9.1","0","0.35"
"0",A4,"1","0","0","0","25638.1024169922","8.35423737764359","41.1673947204836","0.01","1272.76","747.09","0","0","0.49"
"0",A4,"2","0","43.76","82.06","17514.9725952148","1225.8797454834","105.157066298649","0.16","162.15","1100.18","0","1","0.11"
"0",A4,"2","0","42.25","79.91","1242.51741027832","24385.6678466797","112.172868476249","0.29","1061.36","750.3","0.7","0","0.09"
"0",A4,"1","0","46.86","97.41","2278.04944610596","9874.28723144531","12.3999473992735","0","1822.4","90.77","0.07","0","0"
"0",B,"3","67.86","31.26","0","10714.7727050781","1470.23781585693","976.289508142509","0","2.65","387.37","0.35","4","1.06"
"0",B,"1","85.71","358.28","0","8117.26922607422","1973.34819030762","3552.13105890853","2.14","24.87","862.02","10.29","5","2.97"
"0",B,"3","67.86","31.26","0","10714.7727050781","1470.23781585693","976.289508142509","0","2.65","387.37","0.35","4","1.06"
"0",B,"2","0","52.97","0","11373.5004577637","1405.95935821533","1082.41370224254","0","3.13","904.45","0.04","4","0.95"
"0",B,"2","0","30.2","0","10422.1234130859","3168.94273376465","23349.5593887446","40.66","400.79","544.3","42.68","4","12.75"
"0",C1,"1","99.65","318.67","4.18","1622.85382843018","41754.5471191406","18301.3477602743","12.17","1.57","211.03","1519.15","5","8.39"
"0",C1,"1","199.78","275.03","30.26","3548.88162231445","43927.1331787109","1747.4081295277","370.7","17.62","404.61","900.34","1","1.2"
"0",C1,"1","141.76","630.15","74.18","3008.9799041748","45786.3461914062","10906.3927148851","125.62","31.28","265.02","1330.98","1","5.77"
"0",C1,"1","48.3","250","60.64","3427.50898742676","37572.4587402344","1167.13002164429","47.06","0.1","387.66","922.6","1","0.55"
"0",C1,"2","53.84","356.74","18.82","4088.30792236328","29183.1817626953","12435.6474385122","141.67","444.68","870.71","384.94","1","7.99"
"0",C1,"1","154.36","433.62","5.95","22396.6100463867","17297.9318771362","4871519.5339559","311.81","1.47","474.05","278.88","1","720.21"
"0",C1,"1","0","98.81","60.26","4336.51913452148","87188.2609863281","5758.25879611401","35.68","0.05","331.88","1430.92","6","3.02"
"0",C1,"3","69.99","372.22","4.71","2245.03409576416","8394.77876281738","18982.8155323551","718.42","76.83","101.85","645.83","3","6.93"
"0",C1,"1","10.07","344.79","16.87","2136.09997558594","64908.7475585938","3523.19765793392","228.72","2.65","664.63","548.97","4","1.83"
"0",C1,"3","0","426.11","0","508.644073486328","11059.4663085938","1356.04183741286","21.55","25.6","326.29","437.51","0","0.36"
"0",C1,"1","43.83","222.1","13.26","6357.71975708008","77417.478515625","11735.4009524658","256.15","6.24","913.52","65.61","2","3.31"
"0",C1,"2","0","103.25","0","14616.4718017578","1363.58360671997","674.581884129671","1.13","63.66","1233.19","5.15","0","2.94"
"0",C1,"1","40.5","41.3","25.96","16930.5606079102","64834.2053222656","62728.9880949957","742.04","28.32","686.01","190.14","4","16.94"
"0",C1,"1","32.91","89.14","51.66","7497.59693908691","35474.4857177734","6070.09870859329","541.02","99.88","356.24","696.33","1","3.9"
"0",C1,"1","0","70.39","24.96","1595.00871276855","84468.4731445312","1745.69615739025","242.57","56.55","938.92","419.28","3","1.72"
"0",C1,"2","0","29.51","50.28","6914.61888122559","42610.1896972656","2234.36139475554","62.47","381.79","284.96","1035.98","1","5.18"
"0",C1,"3","0","0","120.02","1679.41558837891","15421.5887451172","584.442571809515","960.81","609.98","59.2","19.28","0","0.5"
"0",C1,"1","0","248.69","26.99","3355.87385559082","44505.9421386719","517.62014502706","752.13","33.81","599.71","152.61","0","0.47"
"0",C1,"1","0","111.63","85.57","17130.6866455078","49150.5158691406","877.507056722883","563.44","21.77","798.77","290.76","0","0.4"
"0",C1,"1","28.55","167.89","0","5463.40480041504","61588.6552734375","30784.6854889845","251.97","0.02","138.98","15.94","2","7.5"
"0",C1,"1","36.85","141.32","54.25","5924.46594238281","60807.240234375","1721.98866438493","792.53","6.63","854.36","8.58","2","1.21"
"0",C1,"1","38.45","381.47","30.83","2154.71348571777","25809.6275634766","14619.096455652","19.56","0.12","52.8","1683.19","4","7.44"
"0",C1,"1","0","171.47","18.02","11694.571472168","107471.978027344","8055.32005298231","36.57","0.57","970.03","687.8","1","5.85"
"0",C1,"1","36.66","45.65","33.59","7947.9111328125","58060.1140136719","5735.81790131703","109.64","0.09","947.41","85.8","0","2.35"
"0",C1,"1","0","495.49","41.85","10688.7083435059","66648.7470703125","833.057186550926","876.39","11.56","760.03","21.95","1","0.46"
"0",C1,"3","88.09","319.35","14.75","6935.68188476562","5232.37054443359","194.58951060567","5.76","1684.55","17.43","0.01","0","0.51"
"0",C1,"1","39.66","201.03","115.47","6952.65998840332","88272.6655273438","1285.7739993576","9.39","0.14","1093.89","715.62","1","1.52"
"0",C1,"1","0","270.04","47.13","1658.63980865479","72357.6999511719","7693.26291940082","389.25","16.59","567.36","513.37","5","3.87"
"0",C1,"1","14.03","10.37","16.93","1882.22198486328","37503.7341308594","29932.5158184576","15.57","0.24","71.51","1655.14","4","13.33"
"0",C1,"1","48.3","250","60.64","3427.50898742676","37572.4587402344","1167.13002164429","47.06","0.1","387.66","922.6","1","0.55"
"0",C1,"1","0","220.92","49.98","2743.44139099121","44820.7393798828","23912.71902343","11.41","0.11","504.28","1196.49","1","8.8"
"0",C1,"1","61.73","474.07","23.32","4685.91172790527","69066.486328125","3410.07562719937","26.73","27.72","146.16","1583.15","2","2.74"
"0",C1,"1","72.3","294.16","70.25","3878.54318237305","71351.9047851562","9248.47481896402","408.27","75.42","594.86","666.06","2","4.58"
"0",C1,"1","0","260.91","0","1387.68897247314","90897.5483398438","1485.75284697488","500.49","91.38","561.76","540.75","4","1.61"
"0",C1,"1","95.81","562.03","133.19","3927.73608398438","69071.7668457031","2913.26079478324","9.61","0.9","174.35","1591.75","3","2.04"
"0",C1,"2","78.54","233.25","0","12757.5805053711","69575.6823730469","5495.8537547919","34.94","19.11","986.3","840.19","4","3.81"
"0",C2,"2","0","0","19.63","1534.48628997803","3596.26219177246","319.840785437264","529.34","1054.73","9.54","12.38","0","0.37"
"0",C2,"1","103.28","963.73","14.34","5762.24151611328","27124.9279785156","391.236545455176","1405.98","4.21","219.68","3.34","1","0.79"
"0",C2,"2","0","42.09","42.17","7357.15972900391","30486.2354736328","560.455669598654","1226.22","7.46","358.62","49.41","0","0.88"
"0",C2,"2","0","0","19.63","1534.48628997803","3596.26219177246","319.840785437264","529.34","1054.73","9.54","12.38","0","0.37"
"0",D1,"3","182.35","395.69","14.05","2068.54387664795","15794.8464355469","312.726305594668","1310.12","161.42","127.38","38.27","0","1.27"
"0",D1,"4","34.76","172.75","75.2","1974.76638031006","4544.89851379395","16059.4167786548","468.91","744.88","419.02","37.66","12","9.87"
"0",D3,"2","47.47","120.6","0","197.898944377899","10536.7989044189","78628.2468698514","1004.12","0","309.12","295.24","12","17.01"
"0",D3,"3","49.99","90.83","59.87","1844.33427429199","19265.4202880859","633.359904441051","758.79","553.8","71.32","259.81","0","0.65"
"0",D3,"4","41.02","69.21","109.92","1627.02724456787","4196.12231445312","3876.28238149639","268.3","1382.71","23.16","7.48","1","3.3"
"0",D3,"4","41.02","69.21","109.92","1627.02724456787","4196.12231445312","3876.28238149639","268.3","1382.71","23.16","7.48","1","3.3"
"0",E1,"1","0","71.6","57.54","7662.95455932617","11406.4998474121","188.410756102763","1105.67","287.03","76.67","166.91","0","0.08"
